"filename", "language", "CSS", "SQL", "PHP", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.css", "CSS", 1243, 0, 0, 0, 0, 0, 0, 103, 138, 1484
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.js", "JavaScript", 0, 0, 0, 0, 13838, 0, 0, 905, 217, 14960
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\package.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 0, 32
"c:\xampp\htdocs\HosPortal new CSS\icd10_codes.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\HosPortal new CSS\index.php", "PHP", 0, 0, 184, 0, 0, 0, 0, 3, 22, 209
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\external\jquery\jquery.js", "JavaScript", 0, 0, 0, 0, 6895, 0, 0, 1911, 2076, 10882
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\index.html", "HTML", 0, 0, 0, 0, 0, 447, 0, 16, 41, 504
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.css", "CSS", 1224, 0, 0, 0, 0, 0, 0, 49, 43, 1316
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.js", "JavaScript", 0, 0, 0, 0, 13856, 0, 0, 2104, 3086, 19046
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 4, 1, 6
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.structure.css", "CSS", 821, 0, 0, 0, 0, 0, 0, 36, 30, 887
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.structure.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.theme.css", "CSS", 403, 0, 0, 0, 0, 0, 0, 30, 14, 447
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.theme.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\xampp\htdocs\HosPortal new CSS\jqueryui\package.json", "JSON", 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
"c:\xampp\htdocs\HosPortal new CSS\js\appointment-manager.js", "JavaScript", 0, 0, 0, 0, 648, 0, 0, 6, 94, 748
"c:\xampp\htdocs\HosPortal new CSS\js\archive.js", "JavaScript", 0, 0, 0, 0, 217, 0, 0, 8, 34, 259
"c:\xampp\htdocs\HosPortal new CSS\js\base64-to-pdf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 4, 25
"c:\xampp\htdocs\HosPortal new CSS\js\billing.js", "JavaScript", 0, 0, 0, 0, 213, 0, 0, 4, 39, 256
"c:\xampp\htdocs\HosPortal new CSS\js\book-appointment.js", "JavaScript", 0, 0, 0, 0, 503, 0, 0, 36, 84, 623
"c:\xampp\htdocs\HosPortal new CSS\js\doctor-documents.js", "JavaScript", 0, 0, 0, 0, 613, 0, 0, 12, 76, 701
"c:\xampp\htdocs\HosPortal new CSS\js\login-and-register.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\xampp\htdocs\HosPortal new CSS\js\medtech.js", "JavaScript", 0, 0, 0, 0, 200, 0, 0, 5, 31, 236
"c:\xampp\htdocs\HosPortal new CSS\js\meet.js", "JavaScript", 0, 0, 0, 0, 259, 0, 0, 1, 43, 303
"c:\xampp\htdocs\HosPortal new CSS\js\navbar.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 14, 70
"c:\xampp\htdocs\HosPortal new CSS\js\notification-doc.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 1, 6, 50
"c:\xampp\htdocs\HosPortal new CSS\js\notification.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 12, 14, 99
"c:\xampp\htdocs\HosPortal new CSS\js\patient-documents.js", "JavaScript", 0, 0, 0, 0, 248, 0, 0, 0, 34, 282
"c:\xampp\htdocs\HosPortal new CSS\js\patient-list.js", "JavaScript", 0, 0, 0, 0, 298, 0, 0, 3, 50, 351
