Date : 2021-12-30 20:16:12
Directory : c:\xampp\htdocs\HosPortal new CSS
Total : 225 files,  57683 codes, 5519 comments, 8630 blanks, all 71832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sq.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sr-cyrl.js                   | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sr.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sv.js                        | JavaScript |         44 |          0 |          4 |         48 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ta-in.js                     | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\th.js                        | JavaScript |         27 |          0 |          4 |         31 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\tr.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ug.js                        | JavaScript |         14 |          0 |          4 |         18 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\uk.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\uz.js                        | JavaScript |         18 |          0 |          4 |         22 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\vi.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\zh-cn.js                     | JavaScript |         26 |          1 |          4 |         31 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\zh-tw.js                     | JavaScript |         20 |          0 |          4 |         24 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.css                             | CSS        |      1,243 |        103 |        138 |      1,484 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.js                              | JavaScript |     13,838 |        905 |        217 |     14,960 |
